account,trade_date,n_trades,total_pnl,avg_pnl,total_volume,total_fees,win_rate,sentiment,sentiment_value,pnl_per_trade
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-10,42,2482.9272,65.3402,219973.85,2.2811,0.7632,Extreme Greed,79.0,59.1173
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-11,42,3588.1795,92.0046,176519.45,8.4729,1.0,Extreme Greed,82.0,85.4328
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-12,8,3039.166,434.1666,103040.85,4.946,1.0,Extreme Greed,81.0,379.8958
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-14,17,3400.3854,226.6924,199866.9,9.5936,1.0,Extreme Greed,88.0,200.0227
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-15,35,5509.2545,172.1642,249644.77,13.6976,1.0,Extreme Greed,83.0,157.4073
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-17,7,73.6109,12.2685,4940.99,0.6652,1.0,Extreme Greed,79.0,10.5158
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-18,6,1244.6384,248.9277,51241.71,11.2176,1.0,Extreme Greed,77.0,207.4397
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-19,10,842.7995,168.5599,180988.91,17.3749,1.0,Extreme Greed,79.0,84.2799
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-20,59,2593.1476,46.3062,144362.44,16.7836,1.0,Greed,74.0,43.9517
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-21,23,2097.182,95.3265,97908.18,9.3992,1.0,Extreme Greed,78.0,91.1818
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-24,19,1297.0185,86.4679,92592.21,8.8888,1.0,Greed,74.0,68.2641
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-26,111,3195.3074,29.3147,174578.85,19.7522,1.0,Extreme Greed,81.0,28.7866
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-27,11,-38.7809,-5.5401,12798.69,1.2448,0.0,Extreme Greed,83.0,-3.5255
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-28,10,227.851,25.3168,15309.83,2.0544,1.0,Extreme Greed,80.0,22.7851
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-30,45,1100.5751,25.0131,101103.92,9.9395,1.0,Extreme Greed,75.0,24.4572
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-01,48,2507.1225,61.1493,204481.03,36.5051,0.9756,Extreme Greed,79.0,52.2317
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-03,2,126.7884,126.7884,6887.91,0.6612,1.0,Greed,71.0,63.3942
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-05,82,5296.4338,70.6191,305295.15,33.9563,1.0,Extreme Greed,79.0,64.5907
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-08,2,1218.4267,1218.4267,48774.27,4.6823,1.0,Extreme Greed,76.0,609.2134
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-12,93,2237.7987,26.0209,261851.91,34.4781,0.8256,Extreme Greed,79.0,24.0624
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-13,71,6621.4518,108.5484,330222.55,64.3331,1.0,Greed,72.0,93.2599
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-14,43,461.9729,13.9992,70396.23,7.4093,0.9091,Greed,72.0,10.7436
